slug,rotulo,natureza,estatuto,pai,definicao
abac,ABAC,modelo,doutrinario,autorizacao,"Modelo de controle de acesso que toma decisões de autorização com base em atributos do usuário, do recurso e do ambiente."
acesso-privilegiado,Acesso privilegiado,disposicao,natural,iam,Nível de permissão elevado concedido a usuários ou contas para realizar operações críticas e gerenciar recursos restritos do sistema ou da rede.
adaptacao-iterativa,Adaptação iterativa orientada a problema,processo,doutrinario,,"Método de construção de capacidade que parte de um problema localmente sentido e avança por iterações curtas com autoria local, em vez de transplantar solução pronta. Contraposto direto ao isomorfismo mimético."
agencia-vs-resiliencia,Agência vs. resiliência,fenomeno,doutrinario,,"A relação de equilíbrio ou tensão entre a capacidade do agente de agir de forma autônoma e direcionada a metas (agência) e sua habilidade de absorver impactos, adaptar-se e recuperar-se de falhas ou mudanças adversas no ambiente (resiliência)."
agente-de-ia,Agente de IA,disposicao,doutrinario,,"Sistema que persegue um objetivo escolhendo as próprias ações, com acesso a ferramentas e capacidade de revisar o plano diante do que observa. Distingue-se do loop agêntico, que é o ciclo que ele executa."
agilidade-criptografica,Agilidade criptográfica,disposicao,doutrinario,,Capacidade de um sistema alternar rapidamente entre múltiplos mecanismos e algoritmos criptográficos sem causar interrupções significativas na infraestrutura.
agilidade-organizacional,Agilidade organizacional,disposicao,doutrinario,,Capacidade de uma organização de se adaptar rapidamente às mudanças do mercado e entregar valor de forma contínua.
algoritmo-de-estado,Algoritmo de estado,modelo,instituido,primitiva-criptografica,"Algoritmo criptográfico de desenvolvimento próprio e não comercializável, utilizado pelo Estado para proteção de informações sigilosas."
alinhamento-de-ontologias,Alinhamento de ontologias,processo,doutrinario,,Tecnica de mapear entidades entre dois modelos formais distintos.
alto-modernismo,Alto modernismo,fenomeno,doutrinario,,"Confiança de que o ordenamento racional projetado de cima produz resultado superior ao arranjo local acumulado, autorizando reorganizar território e sociedade segundo o esquema. Não é a técnica, é a fé nela."
ameaca-interna,Ameaca interna,fenomeno,natural,,"Risco de segurança originado por um indivíduo que possui ou possuiu acesso autorizado aos recursos, redes ou sistemas de uma organização."
anatomia-do-contexto,Anatomia do contexto,fenomeno,doutrinario,,A integração e interdependência entre elementos sociais e tecnológicos que moldam o ambiente operacional de um sistema.
ancora-de-confianca,Âncora de confiança,modelo,doutrinario,modelo-de-confianca,"O ponto em que a verificação para e a aceitação começa por decisão administrativa, não por derivação. Quem controla o conjunto de âncoras controla o que o sistema considera verdadeiro."
anonimizacao,Anonimização,processo,natural,,Processo técnico que remove ou modifica informações para impedir a associação de dados pessoais ao titular original.
antinomia-de-coordenacao,Antinomia de coordenação,fenomeno,doutrinario,,Tensão ou contradição entre a necessidade de coordenação centralizada e a autonomia dos diferentes órgãos ou níveis de governo na gestão pública.
antipadroes-de-modelagem,Antipadroes de modelagem,modelo,doutrinario,,Estrutura recorrente que produz erro no modelo. Vale para ontologia e para modelo de dominio.
api,API,modelo,doutrinario,contratos-de-interface,"API (interface de programação de aplicações) é a porta que um software expõe para outro software usar: as operações disponíveis, o formato do que entra e do que sai, e os erros possíveis, tudo declarado de antemão. O consumidor é um programa, não uma pessoa — por isso a declaração precisa ser exata: máquina não deduz intenção, e o que não está declarado não existe para quem consome."
aprendizado-por-reforco,Aprendizado por reforço,processo,doutrinario,,"Treinamento em que o agente aprende pela consequência da própria ação, por recompensa e penalidade, sem exemplo rotulado de resposta correta. Distingue-se do aprendizado supervisionado: o sinal vem do ambiente, não do gabarito."
armadilha-de-capacidade,Armadilha de capacidade,fenomeno,doutrinario,,"Fenômeno em que a pressão por resultados imediatos impede o investimento no aprimoramento de processos, mantendo a organização presa em um ciclo de baixa capacidade e alto esforço."
arquitetura-e-parametros,Arquitetura e parâmetros,fenomeno,doutrinario,,A relação entre a organização dos componentes de um sistema e as configurações numéricas (pesos e vieses) que determinam a capacidade e o comportamento de um modelo de inteligência artificial.
atestacao-confianca,Atestação de confiança,processo,doutrinario,modelo-de-confianca,"Procedimento pelo qual um componente produz evidência verificável sobre o que está executando, e um avaliador decide, por política própria, se aquilo é aceitável. A evidência e a política de apreciação são partes separadas e devem ser lidas separadas."
autenticacao,Autenticação,processo,natural,iam,"Processo de validar a identidade de um usuário, serviço ou aplicação para confirmar se realmente é quem diz ser antes de conceder acesso a um sistema."
autenticacao-multifator,Autenticação multifator,processo,natural,autenticacao,Método de segurança de login que exige duas ou mais formas distintas de verificação de identidade para conceder acesso.
automacao-processos,Automação de processos,processo,doutrinario,,"Execução de uma sequência de tarefas por sistema em vez de pessoa, com o encadeamento e as transições declarados fora das tarefas. Distingue-se de script isolado: o objeto é o fluxo, não o passo."
autorizacao,Autorização,processo,natural,iam,Processo que determina quais recursos e ações uma identidade autenticada tem permissão para acessar ou realizar.
avaliacao-politicas-publicas,Avaliação de políticas públicas,processo,doutrinario,,"Procedimentos técnicos formais para analisar a eficiência, eficácia e efetividade da ação pública, acompanhando desde a identificação do problema até os impactos da intervenção."
busca-em-arvore,Busca em árvore,processo,natural,,"Exploração de um espaço de decisão representado como árvore, avaliando ramos a partir de um estado inicial. Distingue-se do modelo que avalia posições: aqui o objeto é o percurso, não o julgamento de cada nó."
business-capability,Business capability,modelo,doutrinario,,"O que uma organização faz para gerar valor, independente de quem executa, como executa ou onde reside no organograma — bloco de habilidade estável no tempo. Decide contra processo: capability é o 'o quê', mudando devagar; processo é o 'como', redesenhado com frequência. Duas organizações com mapas de capability idênticos podem operar processos inteiramente distintos."
cadastro-territorial,Cadastro territorial,modelo,instituido,,"Registro sistemático e geoespacial de informações sobre o território, servindo como base de dados para o planejamento urbano e a gestão municipal."
cadeia-de-ataque,Cadeia de ataque,modelo,doutrinario,taticas-e-tecnicas-adversarias,Modelo que divide um ataque cibernético em estágios sequenciais para ajudar a identificar e interromper a ação do invasor.
cadeia-de-confianca,Cadeia de confiança,processo,doutrinario,modelo-de-confianca,"Propagação da confiança em elos sucessivos, cada um verificado pelo anterior a partir da raiz. Quebra-se por inteiro no elo mais fraco: nenhum elo confere mais garantia do que a raiz sustenta."
cadeia-de-custodia,Cadeia de custódia,modelo,instituido,,"Registro íntegro de quem teve posse da evidência, da coleta ao descarte."
cadeia-de-suprimentos-de-software,Cadeia de suprimentos de software,processo,natural,gestao-de-terceiros,"Todo o código, pessoas, sistemas e processos que contribuem para o desenvolvimento e a entrega do software, dentro e fora da organização."
capacidade-absortiva,Capacidade absortiva,disposicao,doutrinario,,"Habilidade da organização de reconhecer o valor de novas informações externas, assimilá-las, transformá-las e aplicá-las para gerar inovação."
capacitacao-continua,Capacitação contínua,processo,natural,,Processo de aprendizado e aprimoramento constante de competências técnicas e comportamentais ao longo da trajetória profissional.
carga-prematura,Carga prematura,fenomeno,doutrinario,armadilha-de-capacidade,"A carga (obrigação, escala, complexidade) chega antes de existir a capacidade, o instrumento ou o procedimento que a suportariam. Inclui a forma normativa — mandato sem degrau, legível no próprio artefato num único instante — e a forma operacional, inferida do colapso sob carga."
cegueira-relacional,Cegueira relacional,fenomeno,doutrinario,,A ferramenta oficial permite produzir um artefato válido isoladamente sem expor o estado já registrado com que ele vai colidir. A tradução acerta localmente e falha no agregado; o conflito só aparece na análise posterior.
chain-of-thought,Cadeia de raciocínio,processo,doutrinario,,"Técnica em que o modelo enuncia passos intermediários antes de concluir, melhorando tarefas de várias etapas. É técnica de uso, não propriedade do modelo."
cifra-fim-a-fim,Cifra fim a fim,processo,natural,,"Criptografia aplicada diretamente entre os dispositivos de origem e destino, garantindo que apenas os interlocutores tenham acesso ao conteúdo e impedindo a leitura por intermediários."
cinco-forcas-porter,Cinco forças de Porter,modelo,doutrinario,,Modelo analítico que permite avaliar a competitividade e a atratividade de uma empresa no mercado ou setor em que está inserida.
classificacao-da-informacao,Classificação da informação,processo,instituido,,Processo de categorizar informações de acordo com seu nível de sensibilidade ou confidencialidade para aplicar controles de segurança adequados.
cognicao-estendida,Cognição estendida,fenomeno,doutrinario,,"Processo cognitivo que se realiza parcialmente fora do cérebro, em artefato, corpo ou outra pessoa, de modo que o suporte externo é parte do processo e não registro dele."
consciencia-situacional,Consciencia situacional,fenomeno,doutrinario,,"A percepção dos elementos no ambiente dentro de um volume de tempo e espaço, a compreensão do seu significado e a projeção de seu estado em um futuro próximo."
consistencia-de-dados,Consistência de dados,fenomeno,natural,sistemas-distribuidos,"Como réplicas e consumidores convergem para o mesmo estado, e o que decide sobre estado vencido no intervalo. Cobre o modelo temporal do acoplamento (evento, lote, extração periódica) e a relação entre a base canônica e suas cópias."
contratos-de-interface,Contrato de interface,modelo,natural,sistemas-distribuidos,"O que a fronteira aceita, o que devolve ao recusar, e quem arca com a mudança depois que ela já funciona. Cobre tipagem, erro acionável, versionamento e o lugar onde a conformidade é verificada."
controle-de-acesso-fisico,Controle de acesso físico,processo,natural,controle-de-seguranca,"Gerenciamento e restrição da entrada e saída de pessoas, veículos ou prestadores de serviços em locais físicos e áreas restritas."
controle-de-seguranca,Controle de segurança,disposicao,natural,,"Salvaguarda ou contramedida projetada para evitar, detectar ou mitigar riscos de segurança e proteger ativos de informação."
convergencia-sociotecnica,Convergencia sociotecnica,processo,doutrinario,,"Processo em que as mudanças tecnológicas e as dinâmicas sociais se atravessam e se ressignificam mutuamente, integrando expectativas coletivas e disputas de poder além da dimensão puramente técnica."
correlacao-de-eventos,Correlação de eventos,processo,natural,monitoramento-continuo,"Mecanismo que analisa e relaciona logs e eventos de segurança de múltiplas fontes heterogêneas para identificar padrões de ataques, anomalias e ameaças em tempo real."
cultura-organizacional,Cultura organizacional,disposicao,doutrinario,,"Estrutura profunda que reúne valores, crenças e padrões que orientam comportamentos e decisões ao longo do tempo."
dado-mestre,Dado mestre,modelo,doutrinario,,"Base que identifica e caracteriza uma entidade e é consumida por outros sistemas como referência, sem executar a transação. Distinguir do sistema transacional que a consome: o registry identifica, não concede nem paga."
data-mesh,Data mesh,modelo,doutrinario,,Abordagem sociotécnica e arquitetura de dados descentralizada onde equipes de domínio gerenciam e compartilham seus dados analíticos como produtos.
ddd,DDD,modelo,doutrinario,,Abordagem de desenvolvimento de software orientada à modelagem do sistema em estreito alinhamento com o domínio do negócio.
defesa-de-perimetro,Defesa de perímetro,modelo,natural,defesa-em-profundidade,Abordagem que estabelece um limite estratégico para proteger uma rede ou sistema contra acessos não autorizados e ameaças vindas do ambiente externo.
defesa-em-profundidade,Defesa em profundidade,modelo,doutrinario,controle-de-seguranca,"Estratégia de segurança em camadas projetada para desacelerar, detectar e conter ataques por meio de múltiplos controles independentes."
degradacao-em-contexto-longo,Degradação em contexto longo,fenomeno,natural,,"Modelo de linguagem recupera pior a informação posicionada no meio de um contexto longo do que a posicionada no início ou no fim, independente do tamanho absoluto do contexto disponível — decide contra limite de janela de contexto, que é capacidade nominal, não desempenho por posição."
dependencia-de-fornecedor,Dependência de fornecedor,fenomeno,natural,,"Situação em que uma organização depende excessivamente de um único fornecedor, tornando a operação vulnerável a interrupções e falhas."
devops,DevOps,disposicao,doutrinario,,"Capacidade organizacional em que quem desenvolve o software também responde por operá-lo, sustentada por automação de integração, entrega e observabilidade. Distingue-se de software-delivery, que é o processo de entrega em si: aqui o objeto é o arranjo entre as duas funções."
direcao-da-autoridade-semantica,Direção da autoridade semântica,fenomeno,doutrinario,,O sentido da dependência semântica e do fluxo de subordinação ou herança de significados em uma modelagem ontológica.
direcionamento-vs-implementabilidade,Direcionamento vs. implementabilidade,fenomeno,doutrinario,,A tensão entre a formulação de diretrizes ou metas estratégicas e a capacidade real ou viabilidade prática de executá-las na operação.
effort-e-thinking,Effort e thinking,processo,doutrinario,,Mecanismo de alocação de tempo e computação na inferência para o raciocínio interno do modelo antes da geração da resposta final.
embeddings,Embeddings,modelo,natural,,Representacao de dados como vetores numericos em um espaco continuo que captura seu significado e relacoes semanticas.
engenharia-contexto,Engenharia de contexto,processo,doutrinario,,"Seleção, ordenação e orçamento do que entra na janela do modelo a cada chamada. Distingue-se de engenharia de prompt: o objeto é o que acompanha a instrução, não a instrução."
engenharia-social,Engenharia social,processo,natural,,Ataque que explora a pessoa em vez do sistema.
escalabilidade-sistemas,Escalabilidade de sistemas,disposicao,natural,sistemas-distribuidos,Capacidade de sustentar aumento de carga sem degradar. Eixo distinto do semântico: o domínio pode estar corretamente modelado e o sistema ainda assim engasgar por dimensionamento.
escrituracao-eletronica,Escrituração eletrônica,processo,instituido,,"Registro fiscal, contábil ou trabalhista prestado em artefato digital com validade jurídica, sob leiaute canônico e assinatura. Cobre SPED, eSocial e congêneres."
especializacao-local,Especialização local,modelo,doutrinario,,Tecnica em que componentes de um modelo se especializam no processamento de subconjuntos especificos de dados.
estados-do-dado,Estados do dado,modelo,natural,,"As diferentes condições em que a informação se encontra em um sistema, comumente classificadas em dado em repouso (armazenado), em trânsito (em transmissão) ou em uso (em processamento)."
estruturacao-dados,Estruturação de dados,processo,natural,,"Organização de dado extraído num esquema declarado, com tipo, campo e relação definidos. Distingue-se de extração: aqui o objeto é a forma de destino, não a recuperação."
extracao-dados,Extração de dados,processo,natural,,"Obtenção de informação de fonte não estruturada ou semiestruturada, preservando o que estava lá. Distingue-se de estruturação: extrair recupera, estruturar organiza no esquema de destino."
falso-positivo-de-cobertura-por-jurisdicao,Falso positivo de cobertura por jurisdição,fenomeno,doutrinario,,Situação em que a delimitação formal de competência ou território gera a falsa impressão de que um problema ou população está efetivamente coberto pelo serviço público.
feature-toggle,Feature toggle,modelo,natural,,"Condicional em runtime que liga ou desliga um caminho de código sem novo deploy, permitindo integrar código incompleto no branch principal e liberar a funcionalidade separadamente do merge. É o mecanismo que viabiliza trunk-based development em presença de trabalho inacabado."
federacao-de-identidade,Federação de identidade,modelo,doutrinario,iam,"Solução que vincula a identidade on-line de um usuário em vários domínios e redes, permitindo o acesso seguro a sistemas de diferentes organizações com um único conjunto de credenciais."
fusao-reciproca-de-rankings,Fusão recíproca de rankings,modelo,doutrinario,,"Combinar múltiplas listas ordenadas somando 1/(k+posição) de cada item em cada lista, sem exigir escore de relevância comparável entre as fontes — decide contra fusão por escore bruto (que quebra quando os rankers têm escalas incompatíveis) e contra votação simples (que ignora a posição dentro da lista)."
garantia-de-identidade,Garantia de identidade,disposicao,doutrinario,autenticacao,"Grau de confiança de que uma identidade digital corresponde à identidade real do indivíduo, determinado a partir da robustez dos processos de comprovação e dos mecanismos de autenticação utilizados."
genealogia-vcge,Genealogia VCGE,modelo,doutrinario,,Mapeamento da evolução histórica e das versões estruturais do Vocabulário Controlado do Governo Eletrônico.
gerar-vs-avaliar,Gerar vs. avaliar,fenomeno,doutrinario,,A dinâmica que contrapõe a capacidade de criar ou propor novas soluções à capacidade de julgar ou validar sua qualidade.
gestao-arquivistica,Gestão arquivística,processo,doutrinario,,"Conjunto de procedimentos que controla documento desde a produção até a destinação final, preservando o vínculo com a atividade que o gerou. Distingue-se de guarda: o objeto é o ciclo, não o depósito."
gestao-conhecimento,Gestão do conhecimento,processo,doutrinario,,"Processo de identificar, avaliar, organizar, compartilhar e utilizar o conhecimento de forma estratégica para melhorar o desempenho e apoiar os objetivos da organização."
gestao-de-chaves,Gestão de chaves,processo,natural,,"Processo de administração do ciclo de vida de chaves criptográficas, incluindo sua geração, armazenamento, rotação e destruição, para garantir a segurança dos dados."
