obra_id,titulo,dominio_atual,dominio_proposto,subdominio_proposto
495e6644-df61-4cbc-9596-71b3ef6d6d45,Governança Corporativa para Startups & Scale-Ups,,(claudinha-gestao-estrategica),
afd7b4f7-717b-4c90-b8f4-10e200225f7c,Lying for Money: How Legendary Frauds Reveal the Workings of the World,,(claudinha-gestao-estrategica),
c702c250-af7b-4ce2-aa2f-1a41c463568c,Mudança do Paradigma da Sustentabilidade: o Papel do Conselho nas Questões ASG,,(claudinha-gestao-estrategica),
f631dac5-6a8e-4a73-92b8-512a1c9d9150,Red-Blooded Risk: The Secret History of Wall Street,capacidade-estatal,(claudinha-gestao-estrategica),
c0b7b514-5ebe-4d2d-ad16-17c371e4400b,Human Problem Solving: The State of the Theory in 1970,,(claudinha-produto),
cafaba4e-0db9-4139-bf5e-0b9517ce0298,"Rational Analysis for a Problematic World Revisited: Problem Structuring Methods for Complexity, Uncertainty and Conflict, 2nd Edition — ficha de produto",,(claudinha-produto),
fb5705a1-f598-4f51-9d18-deb738c190ea,"The Art of Problem Solving, Volume 1: The Basics",,(claudinha-produto),
8faad734-b28f-465e-8e0f-6433666958c1,Designing AI resistant technical evaluations [snapshot 2026-08-01],,(claudinho-IA),
a88e7493-9ce7-4e11-b032-5117dde68c96,ISO/IEC 42001:2023 — AI Management System,ia,(claudinho-IA),
8eaa66ef-678b-4250-a90f-3b5fd4a47429,EDPB-EDPS Joint Opinion 1/2026 on the Proposal for a Regulation as regards the simplification of the implementation of harmonised rules on artificial intelligence (Digital Omnibus on AI),,(claudinho-seguranca),
8527133d-af44-434f-b9cb-0f513d7ffc49,Simple Sabotage Manual — Strategic Services Field Manual No. 3,,(gestao-estrategica),
7fbf6747-a898-4c54-af9a-7157385fcaf8,Apresentação do PowerPoint,,DESCARTE: exemplar-defeituoso,
7c53b39e-01e9-48bb-8347-9b2e87c3ec68,Nonviolent Communication,,DESCARTE: fora-de-fronteira,
cb3cee6e-f524-43be-bc32-aa24e3a0764d,Teoria dos Direitos Fundamentais,,DESCARTE: fora-de-fronteira,
c0a2eaed-0890-4f75-8a20-c73a7d8c2fec,Expanded Data Architecture Cheat Sheet,,arquiteturas,arquitetura-dados
c14d4e1f-1668-4d2c-9a6f-c3e1ad8d5010,A Foundation for the Study of IT Effects: A New Look at DeSanctis and Poole's Concepts of Structural Features and Spirit,,capacidade-estatal,ce-fundamentacao
0aee7ab5-4caa-4d30-b6d2-126eb7dbccfc,A Qualitative Study of Legacy Systems Modernisation for Citizen-Centric Digital Government,,capacidade-estatal,ce-fundamentacao
de20eac2-0bd8-499d-8bea-24321069a811,Absorptive Capacity: A New Perspective on Learning and Innovation,capacidade-estatal,capacidade-estatal,ce-fundamentacao
3a605d7c-db32-44f3-a2a4-fa790b8cac75,Affordances and Information Systems Research: Taking Stock and Moving Forward,,capacidade-estatal,ce-fundamentacao
6f7b2f2c-98d7-401c-8b31-f8bf84bfb7ab,"Agendas, Alternatives, and Public Policies 2/E",,capacidade-estatal,ce-fundamentacao
bb51604c-14a0-47fb-a730-3063ba082ae8,Analysing policy,,capacidade-estatal,ce-fundamentacao
41621575-06b2-4586-8976-6a97de1b6a67,Arranjos institucionais e capacidades estatais em nível subnacional: a política de educação em direitos humanos de São Paulo,,capacidade-estatal,ce-fundamentacao
84ee87ce-3cb8-4807-8c6e-33171aa8ed6e,Building State Capability,capacidade-estatal,capacidade-estatal,ce-fundamentacao
98b34d43-c565-4a7d-a4f8-0e12fe166e8a,Capacidades estatais e seus efeitos nas políticas municipais de educação,,capacidade-estatal,ce-fundamentacao
a25310a5-049f-490e-b0b1-6c82cd57f651,"Contratos, códigos e controle: a influência das big techs no Estado brasileiro",capacidade-estatal,capacidade-estatal,ce-fundamentacao
0293ccd4-17b0-4ce8-8a36-9d96bb6114a2,Critical Realism and Affordances: Theorizing IT-Associated Organizational Change Processes,,capacidade-estatal,ce-fundamentacao
5f1e3f59-dc9e-4009-bc04-0558c8099451,Diagnostic Model for IT Governance Assessment in Federal Public Universities (2025) - RAC,,capacidade-estatal,ce-fundamentacao
a88f26c9-79d4-4b30-9f03-c4f4b289ea4a,Dynamics of Organizational Practices and Identities - Oxford Scholarship,,capacidade-estatal,ce-fundamentacao
5523c1ac-20cf-4dd7-bd00-ca82cdd4c817,Escaping Capability Traps through Problem-Driven Iterative Adaptation (PDIA),,capacidade-estatal,ce-fundamentacao
aa5d0cda-3a60-4f2c-b28f-0a17f2d450c7,"Fichamento: Andrews, Pritchett & Woolcock — Building State Capability",capacidade-estatal,capacidade-estatal,ce-fundamentacao
13575bdb-28e4-447b-8dc8-d8f3972caccf,"Governança Digital: Plataformas de internet, soberania digital e inteligência artificial",,capacidade-estatal,ce-fundamentacao
8d4dfb88-5a8c-40e2-b6b9-d1f7d5751d02,Governança de Tecnologia da Informação: a meio caminho entre o isomorfismo e a comoditização,,capacidade-estatal,ce-fundamentacao
7161be7c-dd97-4733-abd5-e77b1899009c,INOVAÇÃO ABERTA E JUSTIÇA DIGITAL: transformação disruptiva do Judiciário por meio da colaboração com empresas startups,,capacidade-estatal,ce-fundamentacao
e58327b8-7096-4226-a176-9486a8022a17,Metis AI: The Overlooked Middle Zone Between AI-Native and World-Movers,,capacidade-estatal,ce-fundamentacao
d7826631-5983-4ae9-8f4c-f1e0f2a8b82b,O impacto do modelo gerencial na Administração Pública: um breve estudo sobre a experiência internacional recente,,capacidade-estatal,ce-fundamentacao
f7c2f87a-2900-4278-929f-7a8f4f642659,Percepções sobre um Processo de Software sob o Ponto de Vista das Equipes de Desenvolvimento: Um Estudo de Caso,,capacidade-estatal,ce-fundamentacao
2b01e049-5eb0-46c1-a424-4efe94e5f96c,Persistent Implementation Failure in Development:,,capacidade-estatal,ce-fundamentacao
1a23fdba-c396-4ec5-a5ad-e8236ff88d45,Policy Paradox,,capacidade-estatal,ce-fundamentacao
09c921ae-8fc6-44fd-ad5c-8044e5ad07dc,Problem definition in policy analysis,,capacidade-estatal,ce-fundamentacao
ef89ab49-dce2-46c3-b90c-c59090dbd168,Seeing Like a State,capacidade-estatal,capacidade-estatal,ce-fundamentacao
c4d2136d-bfc9-4f1d-a45c-5b0cf60a2d4a,Sensemaking in Organizations,,capacidade-estatal,ce-fundamentacao
