obra_id,nota
81d6664e-1172-4da8-b611-14181782c6a9,Ontologia de fundamento adotada pela plataforma; decide se uma entidade é continuante ou ocorrente antes de qualquer classe nova.
5915ca87-80d9-4358-8ac6-54c33cd58b47,Método de construção de ontologia de domínio sobre BFO; é o manual de procedimento que eu sigo ao lavrar classe nova.
d9e308e6-34b6-4c78-9a9f-7aae88349d29,Semântica formal de DL; decide o que é expressável em OWL e o que quebra decidibilidade antes de eu escrever axioma.
02d24cf3-de18-45de-88a1-1bd5e247211d,Define o perfil OWL em que a TBox roda; régua para escolher entre EL/QL/RL ao fechar um axioma.
c86ee1f8-6e5b-4982-975a-685190a7d75d,Norma do esquema de vocabulário controlado; decide broader/narrower/related e o que pode ser Concept vs Collection.
26c83d82-e0e6-4896-8d61-322e69b1e22d,Ontologia de fundamento rival; usada para testar se uma distinção minha é artefato de BFO ou sustenta em outra tradição.
3b074f31-8cc9-4fc3-81c0-328bf1000f43,Camada mid-level sobre BFO; decide se um termo já existe upstream antes de eu criar termo local.
f67a33d9-2412-4d0a-a782-ea14792d59f2,Especificação das CCO; fonte de reuso de classe e relação antes de lavratura própria.
3e4564fb-726b-425c-8fc3-2c9575758b7a,Biblioteca comparada de ontologias de fundamento; base para justificar a escolha de tradição em ADR.
9ae06d4e-883b-40a1-a1cb-8f195f1cab59,UFO de Guizzardi; fonte de kind/sortal/relator e critério de identidade — a régua que eu cito para decidir se algo é atributo ou relator.
21244247-1891-436f-a74b-00ae91e4dbd9,Catálogo de anti-padrões ontológicos; usado como checklist de revisão do modelo antes de fechar versão.
0e8da498-1e6b-4565-a74a-49e6d92bfcd3,OntoClean; método formal para avaliar se uma subsunção declarada se sustenta (rigidez, identidade, unidade).
89fa2571-7887-4225-bf27-67971febac65,Trata evento como entidade de primeira classe; régua para modelar ato de catalogação e sucessão sem virar atributo.
8d32d598-b87c-4d8b-aa5b-bb3f6dcdb691,Fundamentação de eventos em modelagem conceitual; par teórico da decisão de modelar processo como ocorrente.
b645d025-5467-43c2-a1a3-71b7b81b4eb9,Caso completo de aterramento de ontologia de domínio em UFO; molde do procedimento que aplico ao domínio da plataforma.
7789de64-cc71-43b0-98f5-34475efc2624,Alinhamento entre ontologias; régua para decidir mapeamento vs. duplicação quando dois vocabulários colidem.
937af706-a6f2-4a8a-98e8-a3c660bfac0a,Usa ontologia para derivar fronteira de domínio; insumo direto do recorte de subdomínio da rodada 2.
678ea005-b065-486e-8046-e850567b291f,Ponte explícita entre ontologia de fundamento e DDD; sustenta que linguagem ubíqua e vocabulário canônico são o mesmo problema.
64f0c65b-cfe0-4dcc-aa28-033d42532586,Perfil UML para DDD; notação de modelo conceitual que eu uso para publicar decisão de modelagem legível fora da ontologia.
4fc02482-bcfc-43cb-8c24-336dd6520a63,Levantamento comparado de modelos existentes; insumo de decisão entre reuso e construção própria.
70f81706-ef82-4655-83aa-bade4319dab4,Ontologia de decisão arquitetural; modelo conceitual de decisão como entidade — base para o que o registro de ADR tem de guardar.
acef84ce-9ddc-4b46-af9b-c5fe4d2596ed,Norma de construção e manutenção de vocabulário controlado monolíngue; régua direta do vocabulário canônico.
133ec5c2-d3c9-4c79-b8fb-bda4fb18453b,Fundamento teórico da organização da informação; sustenta por que descrição e classificação são decisões e não descobertas.
7417496f-a949-4862-8398-f252caf58ae9,Arquitetura de informação como disciplina; régua de rotulagem, navegação e esquema de organização do registro.
